name;score;Rating_id;Genre_id;year;director;Countries_id;company;runtime
Little Miss Marker;6.3;6;15;1980;Walter Bernstein;1;Universal Pictures;103
Willie & Phil;5.9;3;15;1980;Paul Mazursky;1;Twentieth Century Fox;115
Babylon;7.4;0;7;1980;Franco Rosso;22;Diversity 9;95
Windwalker;6.9;6;1;1980;Kieth Merrill;1;Santa Fe International;108
Phobia;4.0;3;7;1980;John Huston;27;Borough Park Productions;94
Windows;4.8;3;7;1980;Gordon Willis;1;Mike Lobell Productions;96
Loving Couples;5.2;6;15;1980;Jack Smight;1;Time Life Films;97
The King and the Mockingbird;7.9;11;14;1980;Paul Grimault;17;Les Films Paul Grimault;83
Oh, God! Book II;5.2;6;15;1980;Gilbert Cates;1;Warner Bros.;94
Those Lips, Those Eyes;6.5;3;15;1980;Michael Pressman;1;Herb Jaffe;105
La Cage aux Folles II;5.8;3;15;1980;Édouard Molinaro;17;Da.Ma. Cinematografica;102
The Gong Show Movie;4.3;3;15;1980;Chuck Barris;1;Chuck Barris Productions;89
Gilda Live;6.8;3;15;1980;Mike Nichols;1;Broadway Productions;96
Why Would I Lie?;6.5;6;15;1980;Larry Peerce;1;Metro-Goldwyn-Mayer (MGM);105
First 13;4.3;3;15;1980;Buck Henry;1;F.F. Associates;97
Mantis Fist Fighter;6.7;0;0;1980;Wing-Cho Yip;0;East Asia Film Company;89
Indiana Jones and the Raiders of the Lost Ark;8.4;6;0;1981;Steven Spielberg;1;Paramount Pictures;115
Body Heat;7.4;3;10;1981;Lawrence Kasdan;1;The Ladd Company;113
An American Werewolf in London;7.5;3;15;1981;John Landis;22;Polygram Pictures;97
Escape from New York;7.2;3;0;1981;John Carpenter;1;AVCO Embassy Pictures;99
The Evil Dead;7.5;4;2;1981;Sam Raimi;1;Renaissance Pictures;85
Porky's;6.2;3;15;1981;Bob Clark;27;Astral Bellevue Pathé;94
Blow Out;7.4;3;10;1981;Brian De Palma;1;Filmways Pictures;108
Clash of the Titans;6.9;6;0;1981;Desmond Davis;22;Charles H. Schneer Productions;118
Excalibur;7.4;3;1;1981;John Boorman;22;Cinema '84;140
Mad Max 2;7.6;3;0;1981;George Miller;36;Kennedy Miller Productions;96
Das Boot;8.3;0;1;1981;Wolfgang Petersen;24;Bavaria Film;149
Stripes;6.9;3;15;1981;Ivan Reitman;1;Columbia Pictures;106
Possession;7.4;3;7;1981;Andrzej Zulawski;17;Gaumont;124
The Cannonball Run;6.2;6;0;1981;Hal Needham;1;Golden Harvest Company;95
Thief;7.4;3;0;1981;Michael Mann;1;Mann/Caan Productions;123
Endless Love;4.9;3;7;1981;Franco Zeffirelli;1;PolyGram Filmed Entertainment;116
Time Bandits;7.0;6;1;1981;Terry Gilliam;22;HandMade Films;110
The Four Seasons;6.8;6;15;1981;Alan Alda;1;Universal Pictures;107
Friday the 13th Part 2;6.1;3;2;1981;Steve Miner;1;Georgetown Productions Inc.;87
Scanners;6.8;3;2;1981;David Cronenberg;27;Canadian Film Development Corporation (CFDC);103
For Your Eyes Only;6.7;6;0;1981;John Glen;22;Eon Productions;127
Halloween II;6.5;3;2;1981;Rick Rosenthal;1;Dino De Laurentiis Company;92
Taps;6.8;6;7;1981;Harold Becker;1;Major Studio Partners;126
Reds;7.3;6;11;1981;Warren Beatty;1;Barclays Mercantile Industrial Finance;195
On Golden Pond;7.6;6;7;1981;Mark Rydell;1;IPC Films;109
The Fox and the Hound;7.3;7;14;1981;Directors;1;Walt Disney 14 Studios;83
Chariots of Fire;7.2;6;11;1981;Hugh Hudson;22;Enigma Productions;125
Absence of Malice;6.9;6;7;1981;Sydney Pollack;1;Columbia Pictures;116
Tarzan the Ape Man;3.4;8;1;1981;John Derek;1;Metro-Goldwyn-Mayer (MGM);115
Victory;6.7;6;7;1981;John Huston;22;Lorimar Film Entertainment;116
Arthur;6.9;6;15;1981;Steve Gordon;1;Orion Pictures;97
My Dinner with Andre;7.8;6;11;1981;Louis Malle;1;Saga Productions Inc.;110
Caveman;5.8;6;15;1981;Carl Gottlieb;1;Estudios Churubusco Azteca S.A.;91
Dead & Buried;6.6;3;2;1981;Gary Sherman;1;Aspen Productions (I);94
4 of the World: Part I;6.9;3;15;1981;Mel Brooks;1;Brooksfilms;92
The Howling;6.6;3;2;1981;Joe Dante;1;Embassy Pictures;91
Dragonslayer;6.7;6;0;1981;Matthew Robbins;22;Paramount Pictures;109
Cutter's Way;6.9;3;10;1981;Ivan Passer;1;Gurian Entertainment;109
Quest for Fire;7.3;3;1;1981;Jean-Jacques Annaud;27;International Cinema Corporation (ICC);100
The Final Conflict;5.6;3;2;1981;Graham Baker;22;Twentieth Century Fox;108
Mommie Dearest;6.7;3;11;1981;Frank Perry;1;Paramount Pictures;129
Private Lessons;5.2;3;15;1981;Alan Myerson;1;Barry & Enright Productions;87
The Postman Always Rings Twice;6.6;3;10;1981;Bob Rafelson;24;CIP Filmproduktion GmbH;122
Ragtime;7.3;6;7;1981;Milos Forman;1;Dino De Laurentiis Company;155
Deadly Blessing;5.6;3;2;1981;Wes Craven;1;PolyGram Filmed Entertainment;100
Eyewitness;6.0;3;10;1981;Peter Yates;1;Twentieth Century Fox;103
Gallipoli;7.4;6;1;1981;Peter Weir;36;R&R Films;110
Outland;6.6;3;0;1981;Peter Hyams;22;The Ladd Company;109
Southern Comfort;7.2;3;0;1981;Walter Hill;1;Cinema Group Ventures;106
S.O.B.;6.4;3;15;1981;Blake Edwards;1;Artista Management;122
The Beyond;6.8;3;2;1981;Lucio Fulci;33;Fulvia Film;87
Ghost Story;6.3;3;7;1981;John Irvin;1;Universal Pictures;110
My Bloody Valentine;6.3;3;2;1981;George Mihalka;27;Canadian Film Development Corporation (CFDC);90
The Funhouse;5.9;3;2;1981;Tobe Hooper;1;Universal Pictures;96
One from the Heart;6.5;3;7;1981;Francis Ford Coppola;1;Zoetrope Studios;107
The French Lieutenant's Woman;7.0;3;7;1981;Karel Reisz;22;Juniper Films;124
The Great Muppet Caper;7.2;7;1;1981;Jim Henson;22;Henson Associates (HA);97
True Confessions;6.3;3;10;1981;Ulu Grosbard;1;Chartoff-Winkler Productions;108
Looker;6.1;6;7;1981;Michael Crichton;1;The Ladd Company;93
Nighthawks;6.4;3;0;1981;Bruce Malmuth;1;Universal Pictures;99
Nice Dreams;6.2;3;15;1981;Tommy Chong;1;C & C Brown Production;88
Sharky's Machine;6.3;3;0;1981;Burt Reynolds;1;Deliverance Productions;122
Neighbors;5.6;3;15;1981;John G. Avildsen;1;Columbia Pictures;94
Puberty Blues;5.9;3;15;1981;Bruce Beresford;36;Limelight Productions (II);87
Eye of the Needle;7.1;3;3;1981;Richard Marquand;22;Kings Road Entertainment;112
Wolfen;6.3;3;2;1981;Michael Wadleigh;1;Orion Pictures;115
Student Bodies;5.5;3;15;1981;Mickey Rose;1;Allen Smithee Classic Films;86
Prince of the City;7.5;3;10;1981;Sidney Lumet;1;Orion Pictures;167
The Hand;5.5;3;7;1981;Oliver Stone;1;Orion Pictures;104
Continental Divide;6.2;6;15;1981;Michael Apted;1;Universal Pictures;103
Diva;7.2;3;9;1981;Jean-Jacques Beineix;17;Les Films Galaxie;117
Venom;5.8;3;2;1981;Piers Haggard;22;Morison Film Group;92
Fort Apache the Bronx;6.7;3;10;1981;Daniel Petrie;1;Time Life Films;125
Eyes of a Stranger;6.0;3;2;1981;Ken Wiederhorn;1;Georgetown Productions Inc.;84
Zorro: The Gay Blade;6.2;6;0;1981;Peter Medak;1;Melvin Simon Productions;93
Under the Rainbow;5.4;6;15;1981;Steve Rash;1;Innovisions;98
Carbon Copy;5.6;6;15;1981;Michael Schultz;1;DeHaven/Shapiro Productions;92
The Incredible Shrinking Woman;5.5;6;15;1981;Joel Schumacher;1;Lija Productions;88
The Night the Lights Went Out in Georgia;6.0;6;7;1981;Ron Maxwell;1;Viacom Enterprises;112
Quartet;6.3;3;7;1981;James Ivory;22;Merchant Ivory Productions;101
Graduation Day;4.9;3;2;1981;Herb Freed;1;Baughn/Freed Productions;96
Modern Problems;5.1;6;15;1981;Ken Shapiro;1;Twentieth Century Fox;93
Pennies from Heaven;6.5;3;7;1981;Herbert Ross;1;Metro-Goldwyn-Mayer (MGM);108
American Pop;7.2;3;14;1981;Ralph Bakshi;1;Bakshi Productions;96
The Legend of the Lone Ranger;5.1;6;0;1981;William A. Fraker;1;Eaves Movie Ranch;98
Sphinx;5.2;6;1;1981;Franklin J. Schaffner;22;Orion Pictures;118
Night School;5.6;3;2;1981;Ken Hughes;1;Lorimar Productions;88
An Eye for an Eye;5.5;3;0;1981;Steve Carver;1;Adams Apple Film Company;106
Zoot Suit;6.8;3;7;1981;Luis Valdez;1;Universal Pictures;103
Rich and Famous;5.9;3;7;1981;George Cukor;1;Jaquet;117
Buddy Buddy;6.5;3;15;1981;Billy Wilder;1;Heron Productions;96
Bustin' Loose;6.1;3;15;1981;Oz Scott;1;Universal Pictures;94
Modern 3;7.0;3;15;1981;Albert Brooks;1;Columbia Pictures;93
Heartbeeps;4.3;6;15;1981;Allan Arkush;1;Universal Pictures;78
Back Roads;5.6;3;1;1981;Martin Ritt;1;CBS Theatrical Films;94
Take This Job and Shove It;5.0;6;15;1981;Gus Trikonis;1;Cinema Group Ventures;100
Raggedy Man;6.8;3;7;1981;Jack Fisk;1;Universal Pictures;94
Whose Life Is It Anyway?;7.3;3;15;1981;John Badham;1;Metro-Goldwyn-Mayer (MGM);119
Inchon;2.7;6;7;1981;Terence Young;7;One Way Productions;140
All Night Long;5.5;3;15;1981;Jean-Claude Tramont;1;Universal Pictures;87
The Pursuit of D.B. Cooper;5.6;6;1;1981;Roger Spottiswoode;1;PolyGram Pictures;100
Rollover;5.4;3;7;1981;Alan J. Pakula;1;IPC Films;116
Only When I Laugh;6.5;3;15;1981;Glenn Jordan;1;Columbia Pictures;120
Honky Tonk Freeway;5.2;6;0;1981;John Schlesinger;1;EMI Films;107
Paternity;4.9;6;15;1981;David Steinberg;1;Paramount Pictures;94
King of the Mountain;5.5;6;0;1981;Noel Nosseck;1;PolyGram Pictures;90
Scream;2.9;3;2;1981;Byron Quisenberry;1;Calendar International Pictures;82
The Devil and Max Devlin;5.0;6;15;1981;Steven Hilliard Stern;1;Walt Disney Productions;96
The Amateur;5.8;3;10;1981;Charles Jarrott;27;Balkan Productions;112
Longshot;5.1;5;15;1981;E.W. Swackhamer;1;Greentree;100
Comin' at Ya!;5.1;3;5;1981;Ferdinando Baldi;33;Lupo-Anthony-Quintano Productions;91
Le Pont du Nord;6.9;11;1;1981;Jacques Rivette;17;Les Films du Losange;129
Silence of the North;6.3;6;7;1981;Allan King;27;Universal Pictures;94
Fast Times at Ridgemont High;7.2;3;15;1982;Amy Heckerling;1;Universal Pictures;90
Blade Runner;8.1;3;0;1982;Ridley Scott;1;The Ladd Company;117
The Thing;8.1;3;2;1982;John Carpenter;1;Universal Pictures;109
Conan the Barbarian;6.9;3;0;1982;John Milius;1;Universal Pictures;129
E.T. the Extra-Terrestrial;7.8;6;13;1982;Steven Spielberg;1;Universal Pictures;115
First Blood;7.7;3;0;1982;Ted Kotcheff;1;Anabasis N.V.;93
An Officer and a Gentleman;7.0;3;7;1982;Taylor Hackford;1;Lorimar Film Entertainment;124
Grease 2;4.4;6;15;1982;Patricia Birch;1;Paramount Pictures;115
Annie;6.6;6;15;1982;John Huston;1;Columbia Pictures;127
Poltergeist;7.3;6;2;1982;Tobe Hooper;1;Metro-Goldwyn-Mayer (MGM);114
48 Hrs.;6.9;3;0;1982;Walter Hill;1;Paramount Pictures;96
Star Trek II: The Wrath of Khan;7.7;6;0;1982;Nicholas Meyer;1;Paramount Pictures;113
Paradise;4.9;3;1;1982;Stuart Gillard;27;Embassy Pictures;100
The Last American Virgin;6.3;3;15;1982;Boaz Davidson;1;Cannon Group;92
Sophie's Choice;7.6;3;7;1982;Alan J. Pakula;22;Incorporated Television Company (ITC);150
Gandhi;8.0;6;11;1982;Richard Attenborough;22;International Film Investors;191
Tootsie;7.4;6;15;1982;Sydney Pollack;1;Columbia Pictures;116
Tron;6.8;6;0;1982;Steven Lisberger;1;Walt Disney Productions;96
The Secret of NIMH;7.6;7;14;1982;Don Bluth;1;Aurora;82
The King of 15;7.8;6;15;1982;Martin Scorsese;1;Embassy International Pictures;109
Rocky III;6.8;6;7;1982;Sylvester Stallone;1;Chartoff-Winkler Productions;99
The Beastmaster;6.2;6;0;1982;Don Coscarelli;1;Leisure Investment Company;118
Creepshow;6.9;3;15;1982;George A. Romero;1;United Film Distribution Company (UFDC);120
The Man from Snowy River;7.3;6;1;1982;George Miller;36;Cambridge Productions;102
Pink Floyd: The Wall;8.0;3;7;1982;Alan Parker;22;Goldcrest Films International;95
Cat People;6.2;3;12;1982;Paul Schrader;1;RKO Pictures;118
Fanny and Alexander;8.1;3;7;1982;Ingmar Bergman;8;Cinematograph AB;188
Friday the 13th Part III;5.7;3;2;1982;Steve Miner;1;Paramount Pictures;95
Firefox;6.0;6;0;1982;Clint Eastwood;1;Major Studio Partners;136
Halloween III: Season of the Witch;5.0;3;2;1982;Tommy Lee Wallace;1;Dino De Laurentiis Company;98
The Dark Crystal;7.2;6;1;1982;Jim Henson;22;Incorporated Television Company (ITC);93
The Verdict;7.7;3;7;1982;Sidney Lumet;1;Twentieth Century Fox;129
Pieces;6.1;11;2;1982;Juan Piquer Simón;25;Almena Films;85
Zapped!;4.9;3;15;1982;Robert J. Rosenthal;1;Embassy Pictures;98
Six Pack;5.9;6;15;1982;Daniel Petrie;1;Twentieth Century Fox;108
The World According to Garp;7.2;3;15;1982;George Roy Hill;1;Pan Arts;136
Diner;7.1;3;15;1982;Barry Levinson;1;Metro-Goldwyn-Mayer (MGM);110
The Best Little Whorehouse in Texas;6.0;3;15;1982;Colin Higgins;1;Universal Pictures;114
The Year of Living Dangerously;7.1;6;7;1982;Peter Weir;36;Metro-Goldwyn-Mayer (MGM);115
Night Shift;6.6;3;15;1982;Ron Howard;1;Major Studio Partners;106
Summer Lovers;5.7;3;15;1982;Randal Kleiser;1;Filmways Pictures;98
Victor Victoria;7.6;6;15;1982;Blake Edwards;22;Metro-Goldwyn-Mayer (MGM);134
The Last Unicorn;7.4;7;14;1982;Jules Bass;22;Rankin/Bass Productions;92
The Entity;6.7;3;7;1982;Sidney J. Furie;1;American Cinema Productions;125
Airplane II: the Sequel;6.2;6;15;1982;Ken Finkleman;1;Paramount Pictures;85
The Toy;5.8;6;15;1982;Richard Donner;1;Columbia Pictures;102
The House on Sorority Row;6.0;3;2;1982;Mark Rosman;1;VAE Productions;91
Evil Under the Sun;7.1;6;10;1982;Guy Hamilton;22;EMI Films;117
The Sword and the Sorcerer;5.6;3;0;1982;Albert Pyun;1;Sorcerer Productions;99
Death Wish II;6.0;3;0;1982;Michael Winner;1;Golan-Globus Productions;89
Silent Rage;5.5;3;0;1982;Michael Miller;1;Columbia Pictures;103
Megaforce;3.7;6;0;1982;Hal Needham;0;Golden Harvest Company;99
Personal Best;6.3;3;7;1982;Robert Towne;1;The Geffen Company;128
Dead Men Don't Wear Plaid;6.9;6;15;1982;Carl Reiner;1;Aspen Film Society;88
Amityville II: The Possession;5.5;3;2;1982;Damiano Damiani;34;Dino De Laurentiis Company;104
Missing;7.7;6;11;1982;Costa-Gavras;1;PolyGram Filmed Entertainment;122
17s;7.3;3;11;1982;Graeme Clifford;1;Brooksfilms;140
The Seduction;4.9;3;8;1982;David Schmoeller;1;The Romantic Venture;104
Cannery Row;6.7;6;15;1982;David S. Ward;1;Chai Productions;120
Deathtrap;7.0;6;15;1982;Sidney Lumet;1;Warner Bros.;116
Tex;6.5;6;7;1982;Tim Hunter;1;Walt Disney Productions;103
Time Walker;3.6;6;2;1982;Tom Kennedy;1;Byzantine Productions;83
I, the Jury;5.9;3;10;1982;Richard T. Heffron;1;American Cinema Productions;111
Tempest;6.5;6;15;1982;Paul Mazursky;1;Columbia Pictures;140
Young Doctors in Love;5.5;3;15;1982;Garry Marshall;1;ABC Motion Pictures;96
My Favorite Year;7.4;6;15;1982;Richard Benjamin;1;Metro-Goldwyn-Mayer (MGM);92
Still of the Night;6.1;6;10;1982;Robert Benton;1;United Artists;93
Parasite;3.9;3;2;1982;Charles Band;1;Embassy Pictures;85
Making Love;6.9;3;7;1982;Arthur Hiller;1;IndieProd Company Productions;113
Honkytonk Man;6.6;6;15;1982;Clint Eastwood;1;The Malpaso Company;122
The Beast Within;5.6;3;2;1982;Philippe Mora;1;Katzka;98
Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean;7.2;6;15;1982;Robert Altman;1;Sandcastle 5 Productions;109
The Final Option;6.4;3;0;1982;Ian Sharp;23;Richmond Light Horse Productions;125
Trail of the Pink Panther;5.0;6;15;1982;Blake Edwards;22;United Artists;96
The Sender;6.0;3;7;1982;Roger Christian;22;Paramount Pictures;91
The Border;6.4;3;10;1982;Tony Richardson;1;Efer Productions;108
Kiss Me Goodbye;6.0;6;15;1982;Robert Mulligan;1;Twentieth Century Fox;101
A Midsummer Night's Sex 15;6.6;6;15;1982;Woody Allen;1;Jack Rollins & Charles H. Joffe Productions;88
Vice Squad;6.5;3;0;1982;Gary Sherman;22;AVCO Embassy Pictures;97
Best Friends;5.5;6;15;1982;Norman Jewison;1;Warner Bros.;116
Shoot the Moon;6.9;3;7;1982;Alan Parker;1;Metro-Goldwyn-Mayer (MGM);124
Lookin' to Get Out;5.1;3;15;1982;Hal Ashby;1;Lorimar Productions;105
Barbarosa;6.4;6;5;1982;Fred Schepisi;1;Incorporated Television Company (ITC);90
Visiting Hours;5.7;3;2;1982;Jean-Claude Lord;27;Canadian Film Development Corporation (CFDC);103
A Little Sex;4.9;3;15;1982;Bruce Paltrow;1;Company Four;95
Class Reunion;4.7;3;15;1982;Michael Miller;1;ABC Motion Pictures;84
Hanky Panky;5.6;6;0;1982;Sidney Poitier;1;Columbia Pictures;110
Author! Author!;6.2;6;15;1982;Arthur Hiller;1;Twentieth Century Fox;110
Split Image;6.5;3;7;1982;Ted Kotcheff;27;PolyGram Filmed Entertainment;110
The Challenge;6.3;3;0;1982;John Frankenheimer;1;CBS Theatrical Films;108
The Soldier;5.3;3;0;1982;James Glickenhaus;1;James Glickenhaus;96
Wrong Is Right;5.7;3;15;1982;Richard Brooks;1;Columbia Pictures;117
Six Weeks;5.7;6;7;1982;Tony Bill;1;PolyGram Pictures;107
The State of Things;7.0;0;7;1982;Wim Wenders;24;Gray City;121
Jekyll and Hyde... Together Again;6.2;3;6;1982;Jerry Belson;1;Paramount Pictures;87
Forced Vengeance;5.6;3;0;1982;James Fargo;1;Metro-Goldwyn-Mayer (MGM);90
The Missionary;6.2;3;15;1982;Richard Loncraine;22;HandMade Films;90
The Escape Artist;6.2;6;15;1982;Caleb Deschanel;1;Zoetrope Studios;94
Night Crossing;6.5;6;7;1982;Delbert Mann;22;Walt Disney Productions;107
Endangered Species;5.9;3;7;1982;Alan Rudolph;1;Alive Enterprises;97
Things Are Tough All Over;6.0;3;0;1982;Thomas K. Avildsen;1;C & C Brown Production;90
Homework;3.5;3;15;1982;James Beshears;1;Jensen Farley Pictures;90
Jinxed!;4.7;3;15;1982;Don Siegel;1;Herb Jaffe;103
The Return of Martin Guerre;7.4;11;11;1982;Daniel Vigne;17;S.F.P.C.;112
They Call Me Bruce;5.7;6;0;1982;Elliott Hong;1;Gold Pine Productions;87
Some Kind of Hero;5.8;3;15;1982;Michael Pressman;1;Paramount Pictures;97
Hammett;6.5;6;10;1982;Wim Wenders;1;Orion Pictures;97
Five Days One Summer;6.1;6;7;1982;Fred Zinnemann;1;Cable and Wireless Finance;108
Penitentiary II;4.4;3;10;1982;Jamaa Fanaka;1;Bob-Bea Productions;108
If You Could See What I Hear;6.8;6;11;1982;Eric Till;27;Cypress Grove;103
Partners;5.3;3;15;1982;James Burrows;1;Paramount Pictures;93
Richard Pryor: Live on the Sunset Strip;7.7;3;15;1982;Joe Layton;1;Columbia Pictures;82
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales;7.1;7;14;1982;Directors;1;Warner Bros. 14;74
Monsignor;5.1;3;10;1982;Frank Perry;1;Frank Yablans Presentations;121
Yes, Giorgio;3.9;6;15;1982;Franklin J. Schaffner;1;Metro-Goldwyn-Mayer (MGM);110
I Ought to Be in Pictures;6.2;6;15;1982;Herbert Ross;1;Twentieth Century Fox;108
La traviata;7.2;7;7;1982;Franco Zeffirelli;9;Accent Films B.V.;109
Fighting Back;6.1;3;0;1982;Lewis Teague;1;Permut Presentations;98
Kamikaze 89;5.8;11;6;1982;Wolf Gremm;24;Regina Ziegler Filmproduktion;106
The Wizard of Oz;6.8;11;14;1982;Fumihiko Takayama;1;Alan Enterprises;78
Heidi's Song;6.3;7;14;1982;Robert Taylor;1;Hanna-Barbera Productions;94
Love Child;5.7;3;10;1982;Larry Peerce;1;The Ladd Company;96
Boardinghouse;3.8;3;15;1982;John Wintergate;1;Blustarr;98
Experience Preferred... But Not Essential;7.0;6;7;1982;Peter Duffell;22;Channel Four Film;80
The Personals;6.7;6;15;1982;Peter Markle;1;Blueline Productions;90
Lonely Hearts;6.8;3;15;1982;Paul Cox;36;Adam Packer Film Productions;106
Scarface;8.3;3;10;1983;Brian De Palma;1;Universal Pictures;170
The Outsiders;7.1;6;10;1983;Francis Ford Coppola;1;Zoetrope Studios;91
